"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
7.10344983639091e-50,1.54147666118583,0.103,0.04,1.78509694388504e-45,"KLF9","CD14 Mono"
9.3221365452711e-50,0.28890441254698,0.858,0.787,2.34265291382663e-45,"ELOB","CD14 Mono"
1.18130728363725e-49,-0.599762954226788,0.143,0.258,2.96862520378041e-45,"XIST","CD14 Mono"
3.64509086854949e-49,1.56662726905804,0.168,0.084,9.16011335266487e-45,"AL139246.5","CD14 Mono"
5.84434149890726e-49,0.389366313942973,0.653,0.514,1.4686830186754e-44,"COX7A2","CD14 Mono"
9.28946449984247e-49,0.463305391940398,0.59,0.475,2.33444242881041e-44,"NPM1","CD14 Mono"
9.65148247207242e-49,-0.496496390233549,0.502,0.587,2.4254175452318e-44,"IL17RA","CD14 Mono"
1.40325076351851e-48,1.22708461248502,0.134,0.061,3.52636916872203e-44,"KANSL1-AS1","CD14 Mono"
1.57754816220707e-48,0.993319824183378,0.648,0.537,3.96437853162636e-44,"SQSTM1","CD14 Mono"
1.58858021486352e-48,-0.279938660772885,0.882,0.904,3.99210207995204e-44,"CORO1A","CD14 Mono"
1.86506522536708e-48,-1.78969144933536,0.162,0.257,4.68690891134748e-44,"ASAP1","CD14 Mono"
2.26045053267958e-48,-0.37686338551996,0.776,0.81,5.6805121886238e-44,"EFHD2","CD14 Mono"
2.35822317636879e-48,0.347623444392854,0.78,0.7,5.92621484221478e-44,"YBX1","CD14 Mono"
3.04765505861705e-48,-1.35484514543594,0.185,0.283,7.65875716230464e-44,"PTPRJ","CD14 Mono"
3.77469856257671e-48,-1.16991122604082,0.203,0.302,9.48581748775527e-44,"FBXW7","CD14 Mono"
4.26075050278454e-48,0.887061271178438,0.249,0.147,1.07072660134976e-43,"HLA-DQA1","CD14 Mono"
8.17041883887872e-48,-0.430077644416462,0.692,0.75,2.05322625421022e-43,"FGR","CD14 Mono"
2.31194858204543e-47,-0.616562737747997,0.435,0.52,5.80992678668016e-43,"LILRB3","CD14 Mono"
4.70128335590386e-47,-0.259085883156735,0.917,0.942,1.18143250733864e-42,"ACTG1","CD14 Mono"
5.64920945044156e-47,0.353841884517983,0.754,0.656,1.41964633489596e-42,"COMMD6","CD14 Mono"
6.02017036280559e-47,0.48002760644139,0.507,0.375,1.51286881217304e-42,"POLR1D","CD14 Mono"
6.05231498758773e-47,-0.408099405399893,0.754,0.794,1.5209467563808e-42,"ZYX","CD14 Mono"
7.94039263106294e-47,0.816424110347133,0.247,0.148,1.99542066818612e-42,"ARL4A","CD14 Mono"
8.32882757636693e-47,-0.419486787041127,0.678,0.738,2.09303436994101e-42,"JAML","CD14 Mono"
1.01536075183419e-46,0.30416158074918,0.813,0.723,2.55160156935931e-42,"RPS29","CD14 Mono"
2.03451151990755e-46,-0.294616725689923,0.8,0.845,5.11272744952766e-42,"AHNAK","CD14 Mono"
2.52013286346165e-46,-1.06225976511057,0.169,0.274,6.33309388587912e-42,"DYSF","CD14 Mono"
4.06281805870384e-46,0.979164845524793,0.185,0.099,1.02098617815228e-41,"TGIF1","CD14 Mono"
2.90428972076597e-45,0.593455608101964,0.243,0.143,7.29848006828488e-41,"AC005280.2","CD14 Mono"
3.58460919032536e-45,-0.946876946705408,0.352,0.443,9.00812289528763e-41,"SORL1","CD14 Mono"
1.24084609514204e-44,0.552559492829542,0.469,0.346,3.11824623709194e-40,"ETS2","CD14 Mono"
1.25850154021557e-44,-1.48697051749659,0.083,0.167,3.16261437056172e-40,"RAP1GAP2","CD14 Mono"
3.04986061187038e-44,-0.616109614173633,0.444,0.525,7.66429971763026e-40,"THEMIS2","CD14 Mono"
5.56201262273853e-44,0.602927647437221,0.357,0.244,1.39773377209419e-39,"TRIB1","CD14 Mono"
1.00116904439807e-43,0.3414667630662,0.678,0.555,2.51593780857235e-39,"ATP5MF","CD14 Mono"
1.14933004743183e-43,0.475808669110476,0.63,0.504,2.88826640919618e-39,"H2AFZ","CD14 Mono"
1.49397878845135e-43,1.02167166679776,0.266,0.168,3.75436869537824e-39,"AC087239.1","CD14 Mono"
2.7771203278804e-43,1.12131893104281,0.33,0.224,6.97890338396343e-39,"UBE2S","CD14 Mono"
3.34896924112531e-43,-0.767250895831985,0.53,0.582,8.41595970294792e-39,"DOCK8","CD14 Mono"
9.14290491484159e-43,-0.460308174665224,0.63,0.687,2.29761200509969e-38,"CAP1","CD14 Mono"
2.32007139801819e-42,0.538948540794711,0.635,0.519,5.8303394232197e-38,"ZFAND5","CD14 Mono"
2.46369683184659e-42,0.55223385238178,0.48,0.361,6.19127013843048e-38,"DNAJA1","CD14 Mono"
2.61110484713658e-42,0.406418484026169,0.553,0.421,6.56170648085423e-38,"MZT2B","CD14 Mono"
3.52557054889271e-42,-0.731754852741667,0.547,0.6,8.85975878936739e-38,"RNF149","CD14 Mono"
3.65113558032207e-42,0.792652728359414,0.213,0.125,9.17530371334936e-38,"AC007032.1","CD14 Mono"
9.09092456837999e-42,-0.730737701307599,0.19,0.288,2.28454934403389e-37,"NQO2","CD14 Mono"
1.15022483917808e-41,-0.442823094119293,0.645,0.702,2.89051502085451e-37,"TLN1","CD14 Mono"
1.59808818456697e-41,0.390249624613728,0.646,0.529,4.01599560781679e-37,"UQCRH","CD14 Mono"
1.93993933235747e-41,-0.31595398232063,0.841,0.876,4.87506754221433e-37,"EMP3","CD14 Mono"
3.41769325639979e-41,-0.484483858959085,0.766,0.79,8.58866315333268e-37,"PTPRC","CD14 Mono"
4.03724532444808e-41,1.50392872562632,0.192,0.111,1.0145597500338e-36,"AL118516.1","CD14 Mono"
5.31022014890772e-41,0.424167936306208,0.5,0.376,1.33445832342051e-36,"NDUFB1","CD14 Mono"
2.29986183536222e-40,0.396678983172803,0.614,0.485,5.77955279226527e-36,"COX7B","CD14 Mono"
4.99881372889718e-40,-1.66829023293179,0.09,0.167,1.25620189007186e-35,"DISC1","CD14 Mono"
6.6621317231586e-40,0.282891582001882,0.794,0.705,1.67419370202976e-35,"UQCR11","CD14 Mono"
7.44653365702922e-40,-0.435015059832308,0.717,0.771,1.87131390801144e-35,"ZFP36L1","CD14 Mono"
1.03700335026497e-39,-0.736525983048548,0.417,0.491,2.60598941921586e-35,"MSRB1","CD14 Mono"
1.07808563019228e-39,-0.790829684697374,0.229,0.325,2.7092291886732e-35,"ADGRE2","CD14 Mono"
1.68524549352217e-39,0.281752591504572,0.802,0.742,4.23502192522121e-35,"GNG5","CD14 Mono"
2.43746557195705e-39,-0.405438385543487,0.712,0.755,6.12535098232807e-35,"PRELID1","CD14 Mono"
